,Title,text,name,source,uncertain,skills
277,"Customer Experience Data Scientist, Google Cloud Support","MBA/MS/MA degree with a quantitative focus (economics, computer science, mathematics, physics, engineering, statistics, or accounting)
5 years of quantitative analytics experience with a focus on data analysis, statistical modeling, machine learning, and/or predictive analytics.
Experience with statistical software (e.g., R, S-Plus, SAS, or similar).
Experience with databases and scripting languages (e.g., Python).",Minimum Qualifications,google,,economics|computer science|mathematics|physics|engineering|statistics|accounting|quantitative analytics|data analysis|statistical modeling|machine learning|predictive analytics|statistical software|R|S-Plus|SAS|databases|scripting languages|Python
274,"Business Lead, Partner Directory, Google Cloud","Bachelor's degree or equivalent practical experience.
5 years of partner programs experience at an Enterprise Software (or Cloud) company and experience with partner programs.",Minimum Qualifications,google,,Enterprise Software
24,"Technical Trainer Manager, Google Cloud","7 years of experience in a Technical Training role.
5 years of experience in a management role.
Experience in managing team of Technical Trainers.",Minimum Qualifications,google,,Technical Training|management|managing team of Technical Trainers
125,Vendor Operations Program Manager,"4 years of relevant experience.
Experience running queries and analyzing data sets, and experience developing and managing dashboards to monitor operations.
Experience using Project Management tools (i.e. spreadsheets, scheduling tools, dashboards, etc).
Experience in vendor/operations/project management and data analysis.",Minimum Qualifications,google,,running queries|analyzing data sets|developing and managing dashboards|monitor operations|Project Management tools|spreadsheets|scheduling tools|dashboards|vendor management|operations management|project management|data analysis
188,"Global Supply Chain Manager, Packaging","BS degree in Packaging Engineering, Mechanical Engineering, related engineering field or equivalent practical experience.
5 years of relevant work experience in global supply chain management in the consumer electronics industry, and experience with manufacturing and supply chain processes.
Experience in supply chain in the following commodities: packaging and printed materials, kitting operations, and injection molding.
Experience working in the technology industry with procurement and supply chain management.",Minimum Qualifications,google,,Packaging Engineering|Mechanical Engineering|engineering|global supply chain management|consumer electronics|manufacturing processes|supply chain processes|supply chain in the following commodities|packaging|printed materials|kitting operations|injection molding|procurement|supply chain management
106,"Global Supply Chain Manager, Audio, Consumer Hardware","Bachelor's degree in Electrical Engineering, Mechanical Engineering, or a related engineering field, or equivalent practical experience.
3 years of experience in the technology industry in procurement or supply chain management, or equivalent experience.",Minimum Qualifications,google,,Electrical Engineering|Mechanical Engineering|engineering|procurement|supply chain management
1,"Supplier Development Engineer (SDE), Cable/Connector","BS degree in an Engineering discipline or equivalent practical experience.
7 years of experience in Cable/Connector Design or Manufacturing in an NPI role.
Experience working with Interconnect Engineering and Product Design (PD)/Mechanical Engineer in developing, manufacturing and testing.
Ability to speak and write in English and Mandarin fluently and idiomatically.",Minimum Qualifications,google,,Engineering|Cable/Connector Design|Manufacturing|Interconnect Engineering|Product Design|Mechanical Engineer|developing|manufacturing|testing|English|Mandarin
296,Sustaining Manufacturing Process Engineer,"5 years of experience in Process/Manufacturing Engineering in SMA and Backend Assembly/Test areas.
Experience of Process Failure Mode Effects Analysis (PFMEA), Gage R&R, Process Validation and Process Capability for robust process designs.
Experience working with production equipment/fixturing qualification, validation and ongoing maintenance requirements.",Minimum Qualifications,google,,Process Engineering|Manufacturing Engineering|Backend Assembly|Test|Process Failure Mode Effects Analysis|Gage R&R|Process Validation|Process Capability|robust process designs|working with production equipment|fixturing qualification|validation|maintenance
16,"Machine Learning Product Specialist, Google Cloud (EMEA)","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience working with technologies in the Machine Learning/Big Data ecosystem.
Ability to speak and write in English fluently and idiomatically.",Minimum Qualifications,google,,Computer Science|software engineering|cloud computing|cloud market|competitive dynamics|customer buying behavior|Machine Learning|Big Data|English
2,"Data Analyst, Product and Tools Operations, Google Technical Services","Bachelor’s degree in Business, Economics, Statistics, Operations Research or related analytical field, or equivalent practical experience.
2 years of work experience in business analysis.
1 year of experience with statistical modeling, forecasting or machine learning. Experience with R, SAS or Python.
1 year of experience developing and manipulating large datasets.",Minimum Qualifications,google,,Business|Economics|Statistics|Operations Research|business analysis|statistical modeling|forecasting|machine learning|R|SAS|Python|developing and manipulating large datasets
