"term"|"label"
"Accounts Payable"|"Accounts Payable"
"Invoicing"|"Accounts Payable"
"Journal Entries"|"Accounts Payable"
"Purchase Orders"|"Accounts Payable"
"Invoice Processing"|"Accounts Payable"
"Billing Process"|"Accounts Payable"
"Expense Reports"|"Accounts Payable"
"Client Billing"|"Accounts Payable"
"Cash Collection"|"Accounts Payable"
"JD Edwards"|"Accounts Payable"
"E-Learning"|"Active Learning"
"Self Learning"|"Active Learning"
"Distance Learning"|"Active Learning"
"Learning Management Systems"|"Active Learning"
"Passionate about work"|"Active Learning"
"Active Learning"|"Active Learning"
"Blended Learning"|"Active Learning"
"Moodle"|"Active Learning"
"Learning Management"|"Active Learning"
"Needs Analysis"|"Active Learning"
"Data Entry"|"Administrative Assistance"
"Office Administration"|"Administrative Assistance"
"Administration"|"Administrative Assistance"
"Administrative Assistance"|"Administrative Assistance"
"Phone Etiquette"|"Administrative Assistance"
"Typing"|"Administrative Assistance"
"Receptionist Duties"|"Administrative Assistance"
"Process Scheduler"|"Administrative Assistance"
"Clerical Skills"|"Administrative Assistance"
"Filing"|"Administrative Assistance"
"Advertising"|"Advertising"
"Online Advertising"|"Advertising"
"Digital Media"|"Advertising"
"Email Marketing"|"Advertising"
"Google Analytics"|"Advertising"
"Brand Development"|"Advertising"
"Brand Management"|"Advertising"
"Google Ads"|"Advertising"
"Search Engine Marketing (SEM)"|"Advertising"
"Content Marketing"|"Advertising"
"CATIA"|"Aerospace Engineering"
"ANSYS"|"Aerospace Engineering"
"Commercial Aviation"|"Aerospace Engineering"
"Aeronautics"|"Aerospace Engineering"
"Avionics"|"Aerospace Engineering"
"Airworthiness"|"Aerospace Engineering"
"Aerospace Engineering"|"Aerospace Engineering"
"Helicopters"|"Aerospace Engineering"
"Computer-Aided Engineering (CAE)"|"Aerospace Engineering"
"Aerodynamics"|"Aerospace Engineering"
"Affiliate Marketing"|"Affiliate Marketing"
"Influencer Marketing"|"Affiliate Marketing"
"Relationship Marketing"|"Affiliate Marketing"
"HubSpot"|"Affiliate Marketing"
"Small Business Marketing"|"Affiliate Marketing"
"Enterprise Marketing"|"Affiliate Marketing"
"Network Marketing"|"Affiliate Marketing"
"Marketing Communications Planning"|"Affiliate Marketing"
"E-commerce Optimization"|"Affiliate Marketing"
"Consumer Marketing"|"Affiliate Marketing"
"Agribusiness"|"Agricultural Production"
"Animal Husbandry"|"Agricultural Production"
"Sustainable Agriculture"|"Agricultural Production"
"Animal Nutrition"|"Agricultural Production"
"Animal Care"|"Agricultural Production"
"Farms"|"Agricultural Production"
"Organic Farming"|"Agricultural Production"
"Animal Handling"|"Agricultural Production"
"Irrigation"|"Agricultural Production"
"Crop Protection"|"Agricultural Production"
"Agronomy"|"Agronomy Air Force"
"Soil Sampling"|"Agronomy Air Force"
"Plant Breeding"|"Agronomy Air Force"
"Soil Science"|"Agronomy Air Force"
"Hydrologic Modeling"|"Agronomy Air Force"
"Plant Biology"|"Agronomy Air Force"
"Soil Fertility"|"Agronomy Air Force"
"Seed Production"|"Agronomy Air Force"
